"","geoid","name","puma","at_risk","food_insec","food_sec","tot_hh","at_risk_pc","insecure_pc","secure_pc","median_income","moe_median_income"
"106","51059450702","Census Tract 4507.02, Fairfax County, Virginia","59301",74,547,730,1351,0.0547742413027387,0.404885270170244,0.540340488527017,77731,21564
"107","51059450800","Census Tract 4508, Fairfax County, Virginia","59301",87,283,829,1199,0.0725604670558799,0.236030025020851,0.691409507923269,113508,29879
"108","51059450900","Census Tract 4509, Fairfax County, Virginia","59301",22,71,493,586,0.037542662116041,0.121160409556314,0.841296928327645,146000,53091
"109","51059451000","Census Tract 4510, Fairfax County, Virginia","59301",32,236,709,977,0.0327533265097236,0.241555783009212,0.725690890481064,135188,41664
"110","51059451100","Census Tract 4511, Fairfax County, Virginia","59301",51,77,630,758,0.0672823218997362,0.101583113456464,0.831134564643799,171458,30633
"111","51059451200","Census Tract 4512, Fairfax County, Virginia","59301",15,47,563,625,0.024,0.0752,0.9008,186979,53711
"112","51059451300","Census Tract 4513, Fairfax County, Virginia","59301",37,152,670,859,0.0430733410942957,0.176949941792782,0.779976717112922,155903,18634
"113","51059451400","Census Tract 4514, Fairfax County, Virginia","59301",73,768,355,1196,0.0610367892976589,0.642140468227425,0.296822742474916,42907,10550
"114","51059451501","Census Tract 4515.01, Fairfax County, Virginia","59301",109,812,1139,2060,0.0529126213592233,0.394174757281553,0.552912621359223,77672,9657
"115","51059451502","Census Tract 4515.02, Fairfax County, Virginia","59301",121,543,1363,2027,0.0596941292550567,0.267883571780957,0.672422298963986,89743,23351
"116","51059451601","Census Tract 4516.01, Fairfax County, Virginia","59301",110,997,415,1522,0.0722733245729304,0.655059132720105,0.272667542706965,51578,19041
"117","51059451602","Census Tract 4516.02, Fairfax County, Virginia","59301",48,414,585,1047,0.0458452722063037,0.39541547277937,0.558739255014327,69593,15275
"118","51059451800","Census Tract 4518, Fairfax County, Virginia","59301",64,207,953,1224,0.0522875816993464,0.169117647058824,0.77859477124183,120179,17506
"119","51059451900","Census Tract 4519, Fairfax County, Virginia","59301",143,565,1375,2083,0.0686509841574652,0.271243398943831,0.660105616898704,81571,6359
"120","51059452000","Census Tract 4520, Fairfax County, Virginia","59301",43,244,683,970,0.0443298969072165,0.251546391752577,0.704123711340206,140801,11378
"121","51059452101","Census Tract 4521.01, Fairfax County, Virginia","59301",81,460,1122,1663,0.0487071557426338,0.276608538785328,0.674684305472039,106400,14748
"122","51059452102","Census Tract 4521.02, Fairfax County, Virginia","59301",50,213,713,976,0.0512295081967213,0.218237704918033,0.730532786885246,112083,42822
"123","51059452200","Census Tract 4522, Fairfax County, Virginia","59301",94,646,1087,1827,0.0514504652435687,0.353585112205802,0.594964422550629,88842,27677
"124","51059452301","Census Tract 4523.01, Fairfax County, Virginia","59301",68,755,540,1363,0.0498899486426999,0.553925165077036,0.396184886280264,43357,18092
"125","51059452302","Census Tract 4523.02, Fairfax County, Virginia","59301",103,663,745,1511,0.0681667769688948,0.438782263401721,0.493050959629384,69375,29806
"126","51059452400","Census Tract 4524, Fairfax County, Virginia","59301",152,655,1392,2199,0.0691223283310596,0.297862664847658,0.633015006821282,113651,18081
"127","51059452501","Census Tract 4525.01, Fairfax County, Virginia","59301",78,219,825,1122,0.0695187165775401,0.195187165775401,0.735294117647059,128542,31350
"128","51059452502","Census Tract 4525.02, Fairfax County, Virginia","59301",118,668,624,1410,0.0836879432624113,0.473758865248227,0.442553191489362,67280,21035
"129","51059452600","Census Tract 4526, Fairfax County, Virginia","59301",112,511,1874,2497,0.0448538245895074,0.204645574689628,0.750500600720865,133438,21498
"130","51059452700","Census Tract 4527, Fairfax County, Virginia","59301",72,879,876,1827,0.0394088669950739,0.48111658456486,0.479474548440066,63278,13631
"131","51059452801","Census Tract 4528.01, Fairfax County, Virginia","59301",136,814,1181,2131,0.0638198029094322,0.381980290943219,0.554199906147349,75345,15792
